League,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HomeShots,AwayShots,HomeCorners,AwayCorners,Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,AvgHomeOdds,AvgDrawOdds,AvgAwayOdds
I1,2020-11-28,Sassuolo,Inter,0,3,A,7,9,6,2,4.33,4.1,1.72,4.43,4.15,1.72
I1,2020-11-28,Benevento,Juventus,1,1,D,8,11,5,8,7.5,4.75,1.4,7.48,4.88,1.41
I1,2020-11-28,Atalanta,Verona,0,2,A,15,7,4,1,1.36,5.25,7.5,1.36,5.36,7.75
I1,2020-11-29,Lazio,Udinese,1,3,A,8,6,4,4,1.66,4.0,4.75,1.73,3.93,4.65
I1,2020-11-29,Bologna,Crotone,1,0,H,11,5,10,3,1.66,4.0,4.75,1.66,4.18,4.91
I1,2020-11-29,Milan,Fiorentina,2,0,H,11,5,3,6,1.7,3.8,5.0,1.72,3.92,4.74
I1,2020-11-29,Cagliari,Spezia,2,2,D,9,12,4,5,2.15,3.4,3.4,2.14,3.4,3.45
I1,2020-11-29,Napoli,Roma,4,0,H,13,4,11,4,2.1,3.8,3.1,2.17,3.69,3.16
I1,2020-11-30,Torino,Sampdoria,2,2,D,11,7,6,2,2.5,3.5,2.75,2.53,3.46,2.73
I1,2020-11-30,Genoa,Parma,1,2,A,12,7,2,2,2.62,3.5,2.62,2.67,3.28,2.7
I1,2020-12-05,Spezia,Lazio,1,2,A,11,3,7,0,5.0,3.9,1.66,5.08,3.87,1.69
I1,2020-12-05,Juventus,Torino,2,1,H,9,5,13,1,1.4,5.0,7.0,1.4,4.95,7.38
I1,2020-12-05,Inter,Bologna,3,1,H,11,9,7,3,1.45,4.75,6.5,1.47,4.78,6.25
I1,2020-12-06,Verona,Cagliari,1,1,D,12,9,7,5,1.95,3.6,3.75,1.98,3.7,3.64
I1,2020-12-06,Parma,Benevento,0,0,D,6,6,6,3,2.1,3.6,3.4,2.11,3.59,3.36
I1,2020-12-06,Roma,Sassuolo,0,0,D,14,7,12,5,1.66,4.33,4.5,1.71,4.21,4.43
I1,2020-12-06,Crotone,Napoli,0,4,A,4,11,4,1,7.5,5.25,1.36,8.15,5.19,1.36
I1,2020-12-06,Sampdoria,Milan,1,2,A,6,9,9,6,4.5,4.0,1.72,4.46,3.9,1.76
I1,2020-12-07,Fiorentina,Genoa,1,1,D,16,3,5,1,1.72,4.0,4.5,1.8,3.72,4.47
I1,2020-12-11,Sassuolo,Benevento,1,0,H,4,17,1,10,1.65,4.2,4.75,1.69,4.19,4.62
I1,2020-12-12,Crotone,Spezia,4,1,H,7,9,1,4,2.5,3.5,2.7,2.59,3.4,2.72
I1,2020-12-12,Torino,Udinese,2,3,A,6,5,2,2,2.9,3.25,2.5,2.86,3.27,2.54
I1,2020-12-12,Lazio,Verona,1,2,A,8,3,5,3,1.65,4.0,5.0,1.67,3.97,5.06
I1,2020-12-13,Cagliari,Inter,1,3,A,7,20,3,9,7.5,5.25,1.36,7.53,5.22,1.38
I1,2020-12-13,Atalanta,Fiorentina,3,0,H,14,3,11,2,1.66,4.33,4.5,1.68,4.18,4.65
I1,2020-12-13,Bologna,Roma,1,5,A,4,13,1,5,3.5,3.8,2.0,3.52,3.8,2.0
I1,2020-12-13,Napoli,Sampdoria,2,1,H,13,4,7,5,1.4,5.0,7.5,1.42,4.88,7.09
I1,2020-12-13,Genoa,Juventus,1,3,A,2,15,0,10,9.0,5.25,1.33,9.43,5.07,1.34
I1,2020-12-13,Milan,Parma,2,2,D,16,5,13,1,1.3,5.75,9.0,1.31,5.62,9.38
I1,2020-12-15,Udinese,Crotone,0,0,D,8,4,9,1,1.6,3.9,5.75,1.62,3.88,5.82
I1,2020-12-15,Benevento,Lazio,1,1,D,7,8,4,8,4.5,3.8,1.75,4.58,3.71,1.79
I1,2020-12-16,Juventus,Atalanta,1,1,D,11,11,2,6,1.85,3.9,3.9,1.9,3.76,3.88
I1,2020-12-16,Fiorentina,Sassuolo,1,1,D,12,12,4,1,2.4,3.5,2.87,2.41,3.45,2.91
I1,2020-12-16,Genoa,Milan,2,2,D,6,8,4,10,7.5,4.75,1.4,7.42,4.76,1.42
I1,2020-12-16,Inter,Napoli,1,0,H,3,9,4,3,2.2,3.5,3.2,2.17,3.56,3.26
I1,2020-12-16,Parma,Cagliari,0,0,D,10,5,8,5,2.3,3.4,3.1,2.34,3.4,3.05
I1,2020-12-16,Spezia,Bologna,2,2,D,7,9,3,4,3.1,3.5,2.2,3.19,3.55,2.2
I1,2020-12-16,Verona,Sampdoria,1,2,A,6,6,6,3,2.15,3.5,3.2,2.21,3.5,3.2
I1,2020-12-17,Roma,Torino,3,1,H,10,12,4,2,1.4,5.0,6.5,1.42,5.01,6.75
I1,2020-12-19,Fiorentina,Verona,1,1,D,5,5,4,1,2.1,3.5,3.4,2.16,3.4,3.46
I1,2020-12-19,Sampdoria,Crotone,3,1,H,6,5,3,1,1.83,3.7,4.33,1.84,3.65,4.33
I1,2020-12-19,Parma,Juventus,0,4,A,9,12,4,9,8.5,5.25,1.33,8.31,5.06,1.37
I1,2020-12-20,Torino,Bologna,1,1,D,13,14,4,8,2.6,3.5,2.6,2.62,3.5,2.62
I1,2020-12-20,Benevento,Genoa,2,0,H,10,6,6,5,2.3,3.4,3.1,2.3,3.37,3.15
I1,2020-12-20,Cagliari,Udinese,1,1,D,7,11,5,7,3.0,3.4,2.37,3.06,3.38,2.34
I1,2020-12-20,Inter,Spezia,2,1,H,10,7,3,2,1.22,6.5,12.0,1.24,6.53,11.62
I1,2020-12-20,Sassuolo,Milan,1,2,A,16,11,6,4,3.6,4.0,1.9,3.62,3.9,1.94
I1,2020-12-20,Atalanta,Roma,4,1,H,9,5,2,2,2.25,3.75,2.9,2.23,3.74,3.0
I1,2020-12-20,Lazio,Napoli,2,0,H,9,7,4,9,2.87,3.4,2.45,2.86,3.39,2.48
I1,2020-12-22,Crotone,Parma,2,1,H,10,14,3,6,2.62,3.4,2.62,2.73,3.3,2.65
I1,2020-12-22,Juventus,Fiorentina,0,3,A,10,9,5,5,1.3,5.5,9.0,1.34,5.32,9.11
I1,2020-12-23,Verona,Inter,1,2,A,5,9,2,8,6.0,4.0,1.57,5.77,4.04,1.6
I1,2020-12-23,Bologna,Atalanta,2,2,D,8,9,1,5,5.0,4.2,1.61,5.04,4.44,1.6
I1,2020-12-23,Milan,Lazio,3,2,H,9,13,4,6,2.2,3.75,3.0,2.25,3.59,3.09
I1,2020-12-23,Napoli,Torino,1,1,D,12,4,4,3,1.36,5.25,8.0,1.35,5.31,8.25
I1,2020-12-23,Roma,Cagliari,3,2,H,13,6,6,0,1.28,5.75,10.0,1.31,5.58,9.36
I1,2020-12-23,Sampdoria,Sassuolo,2,3,A,14,10,14,6,2.6,3.6,2.6,2.65,3.52,2.58
I1,2020-12-23,Spezia,Genoa,1,2,A,7,7,4,2,2.15,3.5,3.3,2.22,3.4,3.28
I1,2020-12-23,Udinese,Benevento,0,2,A,7,3,7,1,1.85,3.4,4.5,1.89,3.35,4.54
I1,2021-01-03,Inter,Crotone,6,2,H,13,7,3,3,1.2,7.0,12.0,1.22,6.85,12.5
I1,2021-01-03,Atalanta,Sassuolo,5,1,H,20,7,8,3,1.5,4.5,5.5,1.55,4.57,5.39
I1,2021-01-03,Cagliari,Napoli,1,4,A,6,22,3,8,7.0,4.33,1.45,6.72,4.4,1.49
I1,2021-01-03,Fiorentina,Bologna,0,0,D,10,5,8,5,2.1,3.4,3.4,2.13,3.55,3.36
I1,2021-01-03,Genoa,Lazio,1,1,D,5,10,4,9,5.25,4.0,1.61,5.11,3.93,1.67
I1,2021-01-03,Parma,Torino,0,3,A,15,14,9,3,2.75,3.2,2.6,2.85,3.19,2.6
I1,2021-01-03,Roma,Sampdoria,1,0,H,12,2,8,2,1.45,4.75,6.0,1.48,4.75,6.19
I1,2021-01-03,Spezia,Verona,0,1,A,6,9,3,5,2.9,3.4,2.37,3.0,3.38,2.39
I1,2021-01-03,Benevento,Milan,0,2,A,14,8,12,4,5.25,4.2,1.57,5.31,4.15,1.61
I1,2021-01-03,Juventus,Udinese,4,1,H,13,8,7,1,1.4,4.5,7.5,1.44,4.54,7.41
I1,2021-01-06,Cagliari,Benevento,1,2,A,10,9,7,6,2.4,3.4,2.87,2.45,3.35,2.94
I1,2021-01-06,Atalanta,Parma,3,0,H,17,3,12,3,1.25,6.5,10.0,1.25,6.34,11.08
I1,2021-01-06,Bologna,Udinese,2,2,D,10,12,4,6,2.6,3.3,2.62,2.72,3.24,2.69
I1,2021-01-06,Crotone,Roma,1,3,A,12,10,3,4,7.0,5.0,1.4,7.1,4.99,1.41
I1,2021-01-06,Lazio,Fiorentina,2,1,H,11,9,2,9,1.72,3.8,4.2,1.83,3.74,4.26
I1,2021-01-06,Sampdoria,Inter,2,1,H,8,23,4,10,6.0,4.2,1.5,5.88,4.22,1.56
I1,2021-01-06,Sassuolo,Genoa,2,1,H,13,7,8,2,1.75,3.6,4.75,1.8,3.71,4.53
I1,2021-01-06,Torino,Verona,1,1,D,15,8,9,3,2.5,3.3,2.75,2.6,3.31,2.78
I1,2021-01-06,Napoli,Spezia,1,2,A,27,8,10,2,1.2,7.0,15.0,1.2,7.02,14.13
I1,2021-01-06,Milan,Juventus,1,3,A,18,13,7,4,3.1,3.4,2.25,3.14,3.35,2.32
I1,2021-01-09,Benevento,Atalanta,1,4,A,4,26,1,11,7.0,4.75,1.4,6.68,4.68,1.46
I1,2021-01-09,Genoa,Bologna,2,0,H,9,12,1,4,3.0,3.4,2.35,3.06,3.3,2.4
I1,2021-01-09,Milan,Torino,2,0,H,8,8,7,5,1.61,3.9,5.5,1.65,3.89,5.42
I1,2021-01-10,Roma,Inter,2,2,D,14,16,3,7,2.87,3.6,2.37,2.94,3.53,2.37
I1,2021-01-10,Parma,Lazio,0,2,A,9,21,5,6,5.5,4.2,1.57,5.63,4.21,1.58
I1,2021-01-10,Udinese,Napoli,1,2,A,17,15,2,7,4.0,3.8,1.85,4.34,3.59,1.86
I1,2021-01-10,Verona,Crotone,2,1,H,11,7,6,4,1.75,3.75,4.6,1.8,3.69,4.56
I1,2021-01-10,Fiorentina,Cagliari,1,0,H,12,9,9,5,1.75,3.9,4.33,1.77,3.84,4.48
I1,2021-01-10,Juventus,Sassuolo,3,1,H,20,10,6,3,1.3,5.5,9.5,1.3,5.67,9.7
I1,2021-01-11,Spezia,Sampdoria,2,1,H,8,6,4,2,3.1,3.4,2.3,3.19,3.3,2.32
I1,2021-01-15,Lazio,Roma,3,0,H,9,5,1,7,2.8,3.6,2.37,2.84,3.49,2.47
I1,2021-01-16,Bologna,Verona,1,0,H,18,8,7,3,2.3,3.3,3.1,2.41,3.22,3.12
I1,2021-01-16,Torino,Spezia,0,0,D,8,6,6,2,2.0,3.5,3.75,2.01,3.39,3.92
I1,2021-01-16,Sampdoria,Udinese,2,1,H,15,14,11,5,2.9,3.3,2.5,2.92,3.25,2.52
I1,2021-01-17,Napoli,Fiorentina,6,0,H,10,10,1,4,1.53,4.33,5.75,1.54,4.33,5.95
I1,2021-01-17,Crotone,Benevento,4,1,H,6,14,4,13,2.75,3.5,2.4,2.84,3.43,2.47
I1,2021-01-17,Sassuolo,Parma,1,1,D,15,11,5,2,1.66,4.3,4.5,1.67,4.18,4.75
I1,2021-01-17,Atalanta,Genoa,0,0,D,15,6,9,1,1.2,7.0,13.0,1.24,6.5,11.62
I1,2021-01-17,Inter,Juventus,2,0,H,16,8,3,4,2.4,3.5,2.8,2.43,3.5,2.85
I1,2021-01-18,Cagliari,Milan,0,2,A,17,9,7,4,5.75,4.75,1.5,5.82,4.49,1.53
I1,2021-01-20,Udinese,Atalanta,1,1,D,6,18,2,7,4.33,3.9,1.75,4.42,3.84,1.78
I1,2021-01-22,Benevento,Torino,2,2,D,10,14,6,4,2.8,3.2,2.6,2.85,3.23,2.59
I1,2021-01-23,Roma,Spezia,4,3,H,13,5,3,1,1.44,5.0,6.2,1.45,4.83,6.72
I1,2021-01-23,Milan,Atalanta,0,3,A,10,19,5,7,2.62,3.8,2.45,2.67,3.72,2.46
I1,2021-01-23,Udinese,Inter,0,0,D,6,10,3,4,6.0,4.0,1.57,5.77,4.0,1.6
I1,2021-01-23,Fiorentina,Crotone,2,1,H,12,7,5,3,1.61,4.0,5.25,1.66,3.9,5.31
I1,2021-01-24,Juventus,Bologna,2,0,H,22,12,7,6,1.4,5.0,7.0,1.41,4.9,7.47
I1,2021-01-24,Genoa,Cagliari,1,0,H,8,13,4,7,2.25,3.5,3.1,2.25,3.49,3.12
I1,2021-01-24,Verona,Napoli,3,1,H,15,12,3,3,5.0,3.9,1.66,4.95,3.84,1.71
I1,2021-01-24,Lazio,Sassuolo,2,1,H,18,5,9,6,1.7,4.0,4.75,1.7,3.98,4.77
I1,2021-01-24,Parma,Sampdoria,0,2,A,11,11,5,5,3.0,3.4,2.4,3.0,3.31,2.42
I1,2021-01-29,Torino,Fiorentina,1,1,D,15,9,7,2,2.7,3.25,2.62,2.72,3.2,2.74
I1,2021-01-30,Bologna,Milan,1,2,A,10,17,6,4,4.0,3.8,1.85,4.09,3.78,1.86
I1,2021-01-30,Sampdoria,Juventus,0,2,A,6,10,5,7,7.0,4.5,1.45,6.79,4.39,1.49
I1,2021-01-30,Inter,Benevento,4,0,H,13,0,7,3,1.22,6.5,12.0,1.25,6.34,11.1
I1,2021-01-31,Spezia,Udinese,0,1,A,9,6,2,2,3.75,3.2,2.1,3.85,3.19,2.1
I1,2021-01-31,Atalanta,Lazio,1,3,A,8,15,2,2,1.7,4.2,4.33,1.74,4.12,4.34
I1,2021-01-31,Cagliari,Sassuolo,1,1,D,9,14,3,14,3.0,3.5,2.3,3.1,3.4,2.32
I1,2021-01-31,Crotone,Genoa,0,3,A,9,10,3,11,2.9,3.3,2.45,2.96,3.22,2.49
I1,2021-01-31,Napoli,Parma,2,0,H,10,4,7,6,1.3,5.5,10.0,1.31,5.49,9.62
I1,2021-01-31,Roma,Verona,3,1,H,15,6,4,5,1.65,3.9,5.25,1.66,3.96,5.18
I1,2021-02-05,Fiorentina,Inter,0,2,A,15,14,7,7,6.5,4.2,1.5,6.52,4.15,1.54
I1,2021-02-06,Atalanta,Torino,3,3,D,9,19,4,3,1.4,5.0,7.0,1.43,4.87,6.97
I1,2021-02-06,Sassuolo,Spezia,1,2,A,8,13,5,5,1.8,3.8,4.33,1.84,3.77,4.22
I1,2021-02-06,Juventus,Roma,2,0,H,3,14,2,9,1.72,4.0,4.33,1.75,4.02,4.4
I1,2021-02-06,Genoa,Napoli,2,1,H,4,24,1,6,5.0,3.9,1.66,5.26,3.88,1.67
I1,2021-02-07,Benevento,Sampdoria,1,1,D,9,10,2,10,3.0,3.25,2.4,2.96,3.22,2.49
I1,2021-02-07,Milan,Crotone,4,0,H,21,9,8,6,1.22,6.5,13.0,1.23,6.47,12.77
I1,2021-02-07,Udinese,Verona,2,0,H,14,5,10,8,2.3,3.1,3.3,2.4,3.03,3.3
I1,2021-02-07,Parma,Bologna,0,3,A,16,15,5,1,3.2,3.3,2.3,3.27,3.24,2.3
I1,2021-02-07,Lazio,Cagliari,1,0,H,14,7,12,2,1.36,5.0,8.0,1.38,5.05,7.93
I1,2021-02-12,Bologna,Benevento,1,1,D,11,13,8,3,1.8,3.6,4.33,1.88,3.57,4.27
I1,2021-02-13,Torino,Genoa,0,0,D,10,6,3,5,1.9,3.4,4.2,1.99,3.27,4.14
I1,2021-02-13,Napoli,Juventus,1,0,H,10,22,3,9,3.8,3.6,1.95,3.78,3.48,2.01
I1,2021-02-13,Spezia,Milan,2,0,H,15,7,5,2,6.75,4.6,1.45,6.41,4.46,1.49
I1,2021-02-14,Roma,Udinese,3,0,H,12,6,7,2,1.72,3.8,4.75,1.72,3.85,4.81
